year,month,vendor,categories,item,description,qty,source_type
2023,December,FIFTH GENERATION INC,LIQUOR,53929,TITO'S HANDMADE VODKA - 1.75L,2040,Purchase order
2023,December,J LOHR WINERY,WINE,85057,J LOHR SEVEN OAKS CAB - 750ML,168,Purchase order
2023,December,CHESAPEAKE DISTRIBUTING LLC,BEER,24836,MAINE MO NR - 16.9OZ,4,Purchase order
2023,December,DC BRAU BREWING LLC,BEER,28602,DC BRAU PILS 4/6 CAN 12OZ,120,Purchase order
2023,December,ANHEUSER BUSCH INC,LIQUOR,18125,CUTWATER MOJITO VP 3/8PK CAN,50,Purchase order
2023,December,SOUTHERN GLAZERS WINE AND SPIRITS,WINE,47228,JUSTIN ISOSCELES 6/CS - 750ML,7,Purchase order
2023,December,BACKUP BEVERAGE,BEER,97022,GLUTENBERG IPA 6/4 16OZ CANS,5,Purchase order
2023,December,REPUBLIC NATIONAL DISTRIBUTING CO,WINE,332572,ARTISAN PINOT NOIR - 750ML,1,Purchase order
2023,December,REPUBLIC NATIONAL DISTRIBUTING CO,WINE,42953,SOKOL BLOSSER D/HILLS P/NOIR - 750ML,1,Purchase order
2023,December,CHESAPEAKE DISTRIBUTING LLC,BEER,28311,ROTHAUS TANN PILS 4/6 11.0Z NR,3,Purchase order
2023,December,DAOU VINEYARDS LLC,WINE,338351,DAOU SOUL OF A LION CAB - 750ML,2,Purchase order
2023,December,CHESAPEAKE DISTRIBUTING LLC,BEER,15436,AUSTIN EAST ORIGINAL 12/19.2OZ CAN,2,Purchase order
2023,December,REPUBLIC NATIONAL DISTRIBUTING CO,WINE,313028,FLO CHARDONNAY - 750ML,4,Purchase order
2023,December,AMERICAN BEVERAGE MARKETERS,NON-ALCOHOL,297518,MASTER OF MIXES BIG BUCKET BLUE HAWAIIAN 4/96OZ,4,Purchase order
2023,December,RELIABLE CHURCHILL LLLP,LIQUOR,240537,CINCORO BLANCO - 750ML,14,Purchase order
2023,December,BACARDI USA INC,LIQUOR,237111,TEELING SINGLE MALT - 750ML,2,Purchase order
2023,December,MILLER BREWING COMPANY,BEER,90611,ICEHOUSE 30PK CAN - 12OZ,182,Purchase order
2023,December,BANVILLE & JONES WINE MERCHANTS,WINE,239206,DONATELLA CINELLI COLOMBINI PRIME DONNE BRUN-MONT - 750ML,1,Purchase order
2023,December,RELIABLE CHURCHILL LLLP,WINE,298570,KONTEKI SAKE TEARS OF DAWN 300ML,1,Purchase order
2023,December,E & J GALLO WINERY,WINE,80612,MOUNT PEAK WINERY SENTINEL CAB - 750ML,1,Purchase order
2023,December,PWSWN INC,WINE,170035,DOM BEAU MISTRAL RASTEAU 750ML,1,Purchase order
2023,December,FETZER VINEYARDS,WINE,72753,CYT FRONTERA CAB/MER - 1.5L,320,Purchase order
2023,December,OPICI FAMILY DISTRIBUTING OF MD,WINE,169565,OPICI MADEIRA 3L,2,Purchase order
2023,December,THE SPANISH WINE IMPORTERS LLC,WINE,31348,CAMPUS OAKS O/V ZIN - 750ML,4,Purchase order
2023,December,RELIABLE CHURCHILL LLLP,LIQUOR,11084,SHINSHU MARS IWAI JAPANESE WHISKY - 750ML,4,Purchase order
2023,December,RELIABLE CHURCHILL LLLP,NON-ALCOHOL,311544,ARIEL CAB - 750ML,35,Purchase order
2023,December,REPUBLIC NATIONAL DISTRIBUTING CO,WINE,49032,ARUMA MALBEC - 750ML,1,Purchase order
2023,December,"THE COUNTRY VINTNER, LLC DBA WINEBOW",LIQUOR,70345,ROUGH RIDER THREE BRL RYE - 750ML,3,Purchase order
2023,December,PABST BREWING CO,KEG,23932,NATIONAL BOHEMIAN 1/2K,1,Purchase order
2023,December,"THE COUNTRY VINTNER, LLC DBA WINEBOW",WINE,421430,VAJRA DOLCETLO D'ALBA - 750ML,1,Purchase order
2023,December,MILLER BREWING COMPANY,BEER,77753,TOPO CHICO MARGARITA SLTZR VP 2/12 CAN,104,Purchase order
2023,December,"THE COUNTRY VINTNER, LLC DBA WINEBOW",WINE,326521,ARCHERY SUMMIT DUNDEE HILLS P/NOIR - 750ML,4,Purchase order
2023,December,GRAPES OF SPAIN INC,WINE,341022,VINA OTANO VIURA 14 - 750ML,3,Purchase order
2023,December,SOUTHERN GLAZERS WINE AND SPIRITS,WINE,238966,LITTLE BIG TOWN DAY DRINKING SOUTHERN PEACH WINE SPRITZER - 375ML,1,Purchase order
2023,December,KOBRAND CORPORATION,WINE,379044,CAKEBREAD SAUVIGNON BLANC NORTH COAST '22 - 750ML,28,Purchase order
2023,December,MONSIEUR TOUTON SELECTION,WINE,40518,TOMAIOLO CHIANTI CLAS RES - 750ML,1,Purchase order
2023,December,POTOMAC SELECTIONS INC,WINE,350452,RAVENTOS I BLANC CUVEE JOSE - 750ML,1,Purchase order
2023,December,SALVETO IMPORTS LLC,WINE,324171,KLEE P/NOIR - 750ML,21,Purchase order
2023,December,RELIABLE CHURCHILL LLLP,LIQUOR,166863,HEAVENS DOOR DOUBLE BARREL BOURBON - 750ML,9,Purchase order
2023,December,REPUBLIC NATIONAL DISTRIBUTING CO,WINE,356700,SOTO PREM JUNMAI SAKE CAN - 180ML,1,Purchase order
