CALENDAR YEAR,MONTH,VENDOR NAME,CATEGORY,ITEM ,ITEM DESCRIPTION,QUANTITY,TRANSACTION SOURCE TYPE
2023,December,ATHLETIC BREWING COMPANY LLC,NON-ALCOHOL,16828,ATHLETIC RUN WILD NA 2/12 CANS,5,Purchase order
2023,December,LANTERNA DISTRIBUTORS INC,WINE,317093,LE GRAND COURTAGE - 187ML,1,Purchase order
2023,December,JIM BEAM BRANDS CO,LIQUOR,10243,OLD GRAND DAD BOURBON 100P - 750ML,4,Purchase order
2023,December,SFB BUCK LLC,BEER,28557,STIEGL GRAPEFRUIT RADLER 4/6NR - 12OZ,10,Purchase order
2023,December,PIPE CREEK WINES LLC,WINE,344469,CHATEAU BEAUCHENE CDR BLANC GR 750,4,Purchase order
2023,December,ROYAL WINE CORP,WINE,169992,SONOMA LOEB DIGNITARY PINOT NOIR 750ML,4,Purchase order
2023,December,SAZERAC CO,LIQUOR,15385,CARAVELLA LIMONCELLO - 750ML,56,Purchase order
2023,December,PRESTIGE BEVERAGE GROUP OF MD LLC,WINE,188026,DRY CREEK FUME BLC - 750ML,3,Purchase order
2023,December,AMERICAN BEVERAGE MARKETERS,NON-ALCOHOL,166661,MASTER OF MIXES COCKTAIL ESSENTIALS SIMPLE SYRUP-NA,176,Purchase order
2023,December,RELIABLE CHURCHILL LLLP,LIQUOR,89157,REDWOOD EMPIRE GRIZZLY BEAST BIB STRAIGHT BOURB WHISKEY - 750ML,28,Purchase order
2023,December,PRESTIGE BEVERAGE GROUP OF MD LLC,WINE,243821,HAKUTSURU CHIKA SAKE CUP 6/5PK - 200ML,4,Purchase order
2023,December,BACARDI USA INC,LIQUOR,238564,D'USSE VSOP COGNAC - 375ML,16,Purchase order
2023,December,MHW LTD,WINE,414050,FEUDI D'ALBE MONTEPUL D'ABRU - 750ML,28,Purchase order
2023,December,"THE COUNTRY VINTNER, LLC DBA WINEBOW",WINE,168217,ST INNOCENT PINOT BLANC FREEDOM HILL 750ML,1,Purchase order
2023,December,VIGNOBLES LVDH USA INC,WINE,82288,CH MORIN ST ESTEPHE '11,1,Purchase order
2023,December,OPICI FAMILY DISTRIBUTING OF MD,WINE,352642,LA SUECA SANGRIA - 15L,14,Purchase order
2023,December,"THE COUNTRY VINTNER, LLC DBA WINEBOW",WINE,306934,MIZBASHO GINJO SAKE - 300ML,1,Purchase order
2023,December,CROWN IMPORTS,KEG,26300,PACIFICO 1/2K,16,Purchase order
2023,December,INTERNATIONAL CELLARS LLC,BEER,42730,LEBANESE BREW PILSNER 4/6PK - 11.2OZ NR,1,Purchase order
2023,December,LIBATION LLC DBA FORAGER IMPORTS,WINE,377420,SIMPLY... CHARD WASH STATE - 750ML,1,Purchase order
2023,December,"THE COUNTRY VINTNER, LLC DBA WINEBOW",WINE,167947,BROWN ESTATE HOUSE OF BROWN RED BLEND 750ML,1,Purchase order
2023,December,DIAGEO NORTH AMERICA INC,LIQUOR,50997,BAILEYS IRISH CREAM - 375ML,27,Purchase order
2023,December,INTERBALT PRODUCTS CORP,WINE,346371,KOBLEVO KAGOR RES - 750ML,1,Purchase order
2023,December,CHESAPEAKE DISTRIBUTING LLC,BEER,14894,NARRAGANSETT LAGER 2/12 CANS,3,Purchase order
2023,December,KYSELA PERE ET FILS LTD,KEG,41978,JACKIE O'S CHOMOLUNGMA HONEY NUT BROWN ALE - 1/2KEG,1,Purchase order
2023,December,ROYAL WINE CORP,WINE,47890,HERZOG SEL CHATEAUNEUF SEMY DRY WHITE BORDEAUX- 750ML,1,Purchase order
2023,December,ROYAL WINE CORP,WINE,358806,MYX MOSCATO CLASS SANGRIA - 750ML,1,Purchase order
2023,December,RELIABLE CHURCHILL LLLP,LIQUOR,89151,REDWOOD EMPIRE CASK STRENGTH LOST MONARCH BLEND STRAIGHT WHISKEYS - 750ML,27,Purchase order
