year,month,vendor,categories,item,description,qty,source_type
2023,December,FREE RUN WINE MERCHANTS LLC,WINE,334981,LA GALOPE ROSE 14 - 750ML,3,Purchase order
2023,December,KYSELA PERE ET FILS LTD,WINE,239652,RUBUS PINOT NOIR - 750ML,2,Purchase order
2023,December,"THE COUNTRY VINTNER, LLC DBA WINEBOW",LIQUOR,169811,THE LAKES WHISKYMAKERS RESERVE #4 750ML,3,Purchase order
2023,December,STE MICHELLE WINE ESTATES,WINE,84547,COLUMBIA CREST H3 RED BLEND - 750ML,1,Purchase order
2023,December,"THE COUNTRY VINTNER, LLC DBA WINEBOW",WINE,170327,ZENATO CRESASSO 750ML,1,Purchase order
2023,December,IMPERO WINE DISTRIBUTORS,WINE,13515,GAMBINO GRAN CUVEE SPLIT 187ML,4,Purchase order
2023,December,KYSELA PERE ET FILS LTD,WINE,14532,DOM DE LA MORDOREE LIRAC RGE - 750ML,7,Purchase order
2023,December,DOPS INC,NON-ALCOHOL,244886,BIG DROP PARADISO NA 4/6 12OZ CANS,4,Purchase order
2023,December,BACARDI USA INC,LIQUOR,240894,D'USSE XO COGNAC - 750ML,1,Purchase order
2023,December,DIONYSOS IMPORTS INC,WINE,327103,TETRAMTHOS CAVA MEZZE RODITIS - 750ML,6,Purchase order
2023,December,REPUBLIC NATIONAL DISTRIBUTING CO,WINE,342041,GIOCATO P/GRIG - 750ML,1,Purchase order
2023,December,IMPERO WINE DISTRIBUTORS,WINE,63947,ANTONUTTI CABERNET FRANC 750ML,1,Purchase order
2023,December,"THE COUNTRY VINTNER, LLC DBA WINEBOW",WINE,369470,VILLA WOLF RIES - 750ML,1,Purchase order
2023,December,NEW BELGIUM BREWING INC,BEER,51159,NEW BELGIUM VOODOO RANGER HOPPY VP 2/12 CAN,300,Purchase order
2023,December,JOS VICTORI WINES,WINE,302365,CULITOS MOSCATO ROSE - 750ML,11,Purchase order
2023,December,PUNTO VINO LLC,WINE,236276,CHEVALIER FAMAEY MALB/ROSE - 750ML,1,Purchase order
2023,December,TROEGS BREWING COMPANY,BEER,40895,TROEGS LAGRAVE 6/4 12.7OZ NR,1,Purchase order
2023,December,E & J GALLO WINERY,LIQUOR,71983,HIGH NOON SUN SIPS TRP VAR 8PK - RTD - 355ML,312,Purchase order
2023,December,MONSIEUR TOUTON SELECTION,WINE,240984,CLOS PICHOT RED BORD - 750ML,2,Purchase order
2023,December,DMV DISTRIBUTING LLC,WINE,378710,LION & DOVE P/GRIGIO KOS - 750ML,4,Purchase order
2023,December,REPUBLIC NATIONAL DISTRIBUTING CO,LIQUOR,352150,CONCIERE GOLD GIN - 1L,1,Purchase order
2023,December,OPICI FAMILY DISTRIBUTING OF MD,WINE,297047,V PRUNIER BOURGOGNE CHARD -  750ML,1,Purchase order
2023,December,INTERBALT PRODUCTS CORP,WINE,328928,BABUNI HONEY 6/CS - 750ML,1,Purchase order
2023,December,MONSIEUR TOUTON SELECTION,WINE,329397,MONFORTE PROSECCO - 750ML,2,Purchase order
2023,December,STOLI GROUP (USA) LLC,LIQUOR,35335,STOLICHNAYA VODKA - 750ML,75,Purchase order
