year,month,vendor,categories,item,description,qty,source_type
2023,December,GRAPES OF SPAIN INC,WINE,316903,BODEGAS VINEDOS MAURODUS ROMAN - 750ML,6,Purchase order
2023,December,INTERCONTINENTAL PACKAGING COMPANY,WINE,80291,DONA PAULA EST MAL - 750ML,28,Purchase order
2023,December,THE OTHER SIDE LLC,BEER,297656,EQUILIBRIUM MC2 6/4 16OZ CAN,1,Purchase order
2023,December,PROXIMO SPIRITS INC,LIQUOR,70246,1800 SILVER TEQUILA 1.75L,180,Purchase order
2023,December,SOUTHERN GLAZERS WINE AND SPIRITS,WINE,48670,ANTINORI CHIANTI CLASS RES - 750ML,9,Purchase order
2023,December,SOUTHERN GLAZERS WINE AND SPIRITS,WINE,341051,SARACCO MOSC D'ASTI GIFT WRAP - 750ML,3,Purchase order
2023,December,INTERNATIONAL CELLARS LLC,WINE,235158,CAMPI VALERIO CALIDIO ROSSO DEL MOLISE - 750ML,1,Purchase order
2023,December,REPUBLIC NATIONAL DISTRIBUTING CO,LIQUOR,352140,CONCIERE GOLD VODKA - 1L,2,Purchase order
2023,December,HOUTON PURVEYORS LLC,WINE,14921,CASAL DE VENTOZELA ROSE 750ML,1,Purchase order
2023,December,DIONYSOS IMPORTS INC,WINE,345695,TARAPACA GRAN RSVA CARMENERE - 750ML,5,Purchase order
2023,December,RELIABLE CHURCHILL LLLP,WINE,391514,CHOCOLATE BLOCK RED - 750ML,1,Purchase order
2023,December,COMETE WINES LLC,WINE,170344,MERSEL ELEVATE DAW AL AWAR 750ML,1,Purchase order
2023,December,TREASURY WINE ESTATES AMERICAS COMPANY,WINE,155454,ETUDE CARNEROS P/NOIR - 750ML,1,Purchase order
2023,December,ANHEUSER BUSCH INC,BEER,91049,BUD LIGHT 18PK 12OZ CAN,1320,Purchase order
2023,December,DIONYSOS IMPORTS INC,WINE,326215,LOS MEDANOS MAL ORGANIC - 750ML,3,Purchase order
2023,December,ROYAL WINE CORP,WINE,40643,BEN AMI CAB - 750ML,1,Purchase order
2023,December,"THE COUNTRY VINTNER, LLC DBA WINEBOW",WINE,42734,RINGBOLT CAB - 750ML,1,Purchase order
2023,December,DIAGEO NORTH AMERICA INC,LIQUOR,20460,SEAGRAM'S 7 CROWN - 1.75L,60,Purchase order
2023,December,REPUBLIC NATIONAL DISTRIBUTING CO,WINE,131156,CH RECOUGNE BORD SUP - 750ML,4,Purchase order
2023,December,THE OTHER SIDE LLC,BEER,17060,FOAM DEAD FLOWERS 6/4 16OZ CAN,1,Purchase order
2023,December,REPUBLIC NATIONAL DISTRIBUTING CO,WINE,355510,ROSCATO ROSSO DOLCE SWEET RED - 250ML,2,Purchase order
2023,December,THE WINE GROUP,WINE,85502,GLEN ELLEN (CN) CAB - 1.5L,15,Purchase order
2023,December,PUNTO VINO LLC,WINE,235476,CASALE DEL GIGLIO CESANESE LAZIO ROSSO - 750ML,2,Purchase order
2023,December,HEINEKEN USA,BEER,4553,RED STRIPE 2/12 NR - 12OZ,90,Purchase order
