year,month,vendor,categories,item,description,qty,source_type
2023,December,REPUBLIC NATIONAL DISTRIBUTING CO,LIQUOR,244661,ARROW MENTHE GREEN 1L,2,Purchase order
2023,December,THE WINE GROUP,WINE,80189,CUPCAKE MOSCATO D'ASTI - 750ML,80,Purchase order
2023,December,ANHEUSER BUSCH INC,BEER,31082,MICHELOB ULTRA 3/8 ALNR 16OZ,441,Purchase order
2023,December,MILLER BREWING COMPANY,BEER,95656,MOLSON ICE 12/24OZ CAN - 24OZ,196,Purchase order
2023,December,SAZERAC CO,LIQUOR,28797,CANADIAN MIST WHISKEY - 1.75L,68,Purchase order
2023,December,MILLER BREWING COMPANY,BEER,22931,MILLER LITE WIDEMOUTH ALUM 2/9 NR - 16OZ,490,Purchase order
2023,December,DIONYSOS IMPORTS INC,WINE,379530,DOMAINE DOBOIS ALIGOTE WHITE - 750ML,1,Purchase order
2023,December,MONSIEUR TOUTON SELECTION,WINE,313482,CAPE ORIGINAL CHEN BL - 750ML,1,Purchase order
2023,December,THE SPANISH WINE IMPORTERS LLC,WINE,17034,STEL + MAR ROSE - 750ML,1,Purchase order
2023,December,OPICI FAMILY DISTRIBUTING OF MD,WINE,356364,NATURAL ORIGINS CHARDONNAY BIB - 3L,3,Purchase order
2023,December,CROWN IMPORTS,KEG,63631,PACIFICO 1/4 KEG,2,Purchase order
2023,December,CHESAPEAKE DISTRIBUTING LLC,KEG,64555,FIRESTONE 27TH ANNIVERSARY 1/6 KEG,1,Purchase order
2023,December,OPICI FAMILY DISTRIBUTING OF MD,WINE,427129,MOSELLAND BLACK CAT RIES - 500ML,1,Purchase order
2023,December,SOUTHERN GLAZERS WINE AND SPIRITS,LIQUOR,72735,PATRON TEQUILA - SILVER - 1.75L,112,Purchase order
2023,December,E & J GALLO WINERY,WINE,319259,CANYON ROAD WH/ZIN - 1.5L,1,Purchase order
2023,December,SOUTHERN GLAZERS WINE AND SPIRITS,WINE,239574,CALLAWAY CELL SEL CHARD - 750ML,3,Purchase order
